Time (s),Volume (m^3),NH2_X(8),NH_X(9),H2O_X(10),N2O_X(11),H_X(12),NO2(13),NO2_X(14),NHO_X(15),He,NOX,OX,NX,OHX,NH3X,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),N2X(48)
3.726942767306331e-05,0.041168933244172715,1.1483638902525466e-07,3.1384897687781775e-06,1.2023529826310652e-06,2.147468813244399e-19,2.858461494907429e-06,6.77864395889054e-27,3.9009952632095795e-14,3.368915444951494e-17,0.938,8.446757306332893e-06,0.015830461280317135,0.00043543882375421774,3.290719084466355e-09,2.102984594314401e-05,0.0,0.0,0.009541487543983018,0.0017467472681100785,0.05066639178167981,2.423147776676214e-10,7.260580744210239e-17,0.0015318307593617745,6.993757374477728e-13,7.04650374594931e-13
3.737859600306198e-05,0.041168933244172715,1.1424690818501921e-07,3.1518003557905432e-06,1.2015299115604087e-06,2.187323526054068e-19,2.8573435135580235e-06,6.858221515665172e-27,3.9417727750417306e-14,3.3867801037850106e-17,0.938,8.518971212609512e-06,0.015835037210394202,0.0004381562271097077,3.2954487762875813e-09,2.0975254564865293e-05,0.0,0.0,0.009534165803227088,0.0017423241883029992,0.05067059061563767,2.464634250435428e-10,7.365365402322075e-17,0.001529083004024308,7.129024510774571e-13,7.161750920530473e-13
3.748776433306065e-05,0.041168933244172715,1.1366171508468579e-07,3.1650969161631494e-06,1.2007115170438504e-06,2.227720605723362e-19,2.856213865168207e-06,6.938270756570312e-27,3.982734456553813e-14,3.404643297484204e-17,0.938,8.591390496855237e-06,0.01583957260644086,0.0004408763879532571,3.3001303409045908e-09,2.0920765889368246e-05,0.0,0.0,0.009526881547710133,0.0017379190536309576,0.05067479388334925,2.5066388727199634e-10,7.471155553961852e-17,0.0015263321927526398,7.266240037804576e-13,7.278348672041829e-13
3.759693266305932e-05,0.041168933244172715,1.1308076554279925e-07,3.178379098044505e-06,1.199897764218199e-06,2.26866428098726e-19,2.85507268388866e-06,7.018789624188607e-27,4.0238788833213415e-14,3.422504476442792e-17,0.938,8.664012887595752e-06,0.015844067792911334,0.0004435992527895375,3.304763918553097e-09,2.0866379746073284e-05,0.0,0.0,0.009519634509211916,0.0017335317450475874,0.05067900150075929,2.549165385015152e-10,7.577954607205632e-17,0.0015235783818794318,7.405420819434684e-13,7.396305666192306e-13
3.770610099305799e-05,0.041168933244172715,1.1250401596984444e-07,3.191646550444839e-06,1.1990886185271252e-06,2.3101587759206377e-19,2.853920102010501e-06,7.099776023222677e-27,4.0652046186242575e-14,3.4403630919535346e-17,0.938,8.736836110136693e-06,0.0158485230916196,0.00044632476837996307,3.309349650203319e-09,2.0812095966819662e-05,0.0,0.0,0.0095124244218966,0.0017291621446370734,0.050683213384194535,2.5922175281848026e-10,7.685765925529315e-17,0.0015208216274799505,7.546583723397051e-13,7.515630557377573e-13
3.7815269323056664e-05,0.041168933244172715,1.1193142335889594e-07,3.2048989232652276e-06,1.1982840457177118e-06,2.3522083095810195e-19,2.852756249992156e-06,7.181227820906657e-27,4.106710213683457e-14,3.458218596136321e-17,0.938,8.809857886791436e-06,0.01585293882176601,0.0004490528817427604,3.313887677541762e-09,2.075791438581373e-05,0.0,0.0,0.009505251022285846,0.001724810135600488,0.05068742945036426,2.635799042277666e-10,7.794592827581935e-17,0.001518061985371803,7.68974561986515e-13,7.636331988255639e-13
3.7924437653055335e-05,0.041168933244172715,1.1136294527545144e-07,3.2181358673281684e-06,1.1974840118372481e-06,2.3948170956449127e-19,2.8515812564884125e-06,7.263142847421087e-27,4.148394207896197e-14,3.476070442049815e-17,0.938,8.88307593710662e-06,0.01585731529996359,0.0004517835401530173,3.3183781429556506e-09,2.0703834839577376e-05,0.0,0.0,0.009498114049232242,0.0017204756022423352,0.050691649616360746,2.6799136663348117e-10,7.904438586965442e-17,0.0015152995111146924,7.834923380031744e-13,7.758418589325393e-13
3.8033605983054006e-05,0.041168933244172715,1.1079853984922013e-07,3.231357034396851e-06,1.1966884832298453e-06,2.437989342049342e-19,2.850395248373768e-06,7.345518896311077e-27,4.190255129070036e-14,3.493918083840667e-17,0.938,8.956487978085128e-06,0.015861652840263946,0.00045451669114271025,3.3228211895095647e-09,2.0649857166900483e-05,0.0,0.0,0.00949101324389316,0.0017161584299572783,0.05069587379965952,2.724565138197937e-10,8.015306432020911e-17,0.0015125342600102029,7.982133874688932e-13,7.88189897850805e-13
3.813185748005281e-05,0.041168933244172715,1.1029402292764409e-07,3.2432423083985556e-06,1.195976331911583e-06,2.4773295953624236e-19,2.8493185270304796e-06,7.420049661618371e-27,4.228080004758512e-14,3.509976916509568e-17,0.938,9.022722788211076e-06,0.015865523592151938,0.0004569786150310451,3.3267795070684054e-09,2.0601364231933048e-05,0.0,0.0,0.009484653230387325,0.0017122877247650636,0.050699678931524654,2.7652135559578e-10,8.115964007406908e-17,0.001510043205310252,8.116375250136869e-13,7.994230129856837e-13
3.8220283827351734e-05,0.041168933244172715,1.0984272500832965e-07,3.253927679464925e-06,1.1953384728046407e-06,2.5131314859603223e-19,2.848342010753107e-06,7.487443707406236e-27,4.2622429962515214e-14,3.524426249198186e-17,0.938,9.082465504752787e-06,0.015868980704468273,0.0004591960052901827,3.3303093394422915e-09,2.0557790938282097e-05,0.0,0.0,0.009478953935150821,0.0017088159670598946,0.050703106226218486,2.802173763991975e-10,8.207267767710639e-17,0.001507799404117828,8.238622103070122e-13,8.096304570670091e-13
