Time (s),Volume (m^3),NH2_X(8),NH_X(9),H2O_X(10),N2O_X(11),H_X(12),NO2(13),NO2_X(14),NHO_X(15),He,NOX,OX,NX,OHX,NH3X,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7)
2.2773672206229685e-05,0.05954180215024143,1.5228362978240947e-08,5.694075487635647e-07,5.895845542946641e-07,9.937965840872326e-16,2.43391181472533e-06,6.365924511866806e-17,1.3321992140961175e-10,3.003983795530907e-14,0.938,4.3902549699305654e-05,0.01575907756860465,0.0010600733928462355,1.866577141776085e-08,2.0313175353512434e-07,0.0,0.0,0.02051103786479052,0.00126405568350231,0.05166828736786768,4.508937311266236e-06,1.730807264897935e-09,0.0008861947526681135,1.0899219629274502e-08
2.2828291431450904e-05,0.05954180215024143,1.514271306024883e-08,5.69391549190706e-07,5.894396118212981e-07,1.0036005571852385e-15,2.4299144273784257e-06,6.393175909068306e-17,1.337142138402289e-10,3.0056469601896256e-14,0.938,4.404136139731173e-05,0.01576301743223055,0.0010628005520278289,1.8644626795122916e-08,2.0238589809291403e-07,0.0,0.0,0.02050423704077008,0.001259800852676487,0.05167271839787806,4.552146871835715e-06,1.7410496832948235e-09,0.0008832429770887313,1.1010393043928573e-08
2.2877448734149998e-05,0.05954180215024143,1.5066185602947592e-08,5.693729178776996e-07,5.893097342277248e-07,1.012468822260803e-15,2.426322678836319e-06,6.417669288465064e-17,1.3415821312306406e-10,3.007115325134013e-14,0.938,4.4165971969677285e-05,0.015766545975038633,0.0010652471848587239,1.8625575662739685e-08,2.0171706130718723e-07,0.0,0.0,0.020498141758787534,0.0012559861476436692,0.051676694692783826,4.591225248025315e-06,1.750274044741867e-09,0.000880594130068706,1.1110988818147582e-08
2.2926606036849092e-05,0.05954180215024143,1.4990181287902292e-08,5.693503060641511e-07,5.89180394002345e-07,1.0213793960251705e-15,2.422736534767228e-06,6.442131288755772e-17,1.3460139163387935e-10,3.008556852963661e-14,0.938,4.429027936155533e-05,0.015770058212564733,0.0010676864311782723,1.8606505229573984e-08,2.0105052142147385e-07,0.0,0.0,0.020492070466817537,0.001252185246874585,0.051680659986591285,4.630483273401152e-06,1.7595041046622563e-09,0.000877952613575406,1.1212095750703467e-08
2.2975763339548187e-05,0.05954180215024143,1.491469536351282e-08,5.693237410634543e-07,5.890515880547219e-07,1.030332250225107e-15,2.419156009129663e-06,6.466561689769248e-17,1.3504374716829155e-10,3.0099716850748564e-14,0.938,4.4414283521211146e-05,0.01577355425645154,0.0010701183034741379,1.8587416036123735e-08,2.0038627059136347e-07,0.0,0.0,0.020486023040755374,0.0012483980854370953,0.051684614297576675,4.669920815357815e-06,1.7687397086545066e-09,0.0008753184154238377,1.1313713699157306e-08
2.302492064224728e-05,0.05954180215024143,1.483972313240705e-08,5.692932500513128e-07,5.889233133203675e-07,1.0393273558921084e-15,2.4155811154525667e-06,6.490960274236976e-17,1.3548527756829208e-10,3.0113599622846844e-14,0.938,4.4537984406881366e-05,0.015777034217361645,0.0010725428143296756,1.856830861658253e-08,1.997243009898587e-07,0.0,0.0,0.02047999935737118,0.001244624598809016,0.05168855764416631,4.709537738494396e-06,1.7779807030461415e-09,0.0008726915233290193,1.1415842511447078e-08
2.3074077944946375e-05,0.05954180215024143,1.4765259950618322e-08,5.692588600634968e-07,5.887955667579796e-07,1.0483646833499417e-15,2.412011866837868e-06,6.515326827767594e-17,1.3592598072175416e-10,3.012721825156565e-14,0.938,4.4661381986632475e-05,0.015780498204987812,0.001074959976421826,1.854918349865769e-08,1.9906460480809416e-07,0.0,0.0,0.020473999294302034,0.0012408647228747465,0.05169249004493344,4.749333904641138e-06,1.7872269348945532e-09,0.0008700719249081799,1.1518482025962174e-08
2.311831951737556e-05,0.05954180215024143,1.4698674528457303e-08,5.69224597681214e-07,5.886810439445648e-07,1.056534352600563e-15,2.408804380109099e-06,6.537229164598375e-17,1.3632190455492134e-10,3.013925033337257e-14,0.938,4.477218046326633e-05,0.015783602226581,0.0010771291496633314,1.853195619150775e-08,1.984728155789143e-07,0.0,0.0,0.020468619332468647,0.0012374924190105834,0.05169601986241217,4.7853035905392655e-06,1.7955528957653834e-09,0.0008677205121092203,1.1611294098221277e-08
2.3162561089804748e-05,0.05954180215024143,1.4632494405768746e-08,5.691872184285095e-07,5.885669443243292e-07,1.064738174277875e-15,2.4056014851367286e-06,6.559105232734191e-17,1.3671715516811628e-10,3.015107061167744e-14,0.938,4.488273323437783e-05,0.015786693476508105,0.0010792923901180157,1.851471534710109e-08,1.9788285584176655e-07,0.0,0.0,0.02046325831667502,0.0012341310420270943,0.051699540842675425,4.821418244564828e-06,1.8038828652191245e-09,0.000865374987918295,1.1704519569591013e-08
2.3206802662233934e-05,0.05954180215024143,1.4566716305291735e-08,5.69146741727782e-07,5.884532657297594e-07,1.0729761253032267e-15,2.4024031906277857e-06,6.580954881762658e-17,1.3711173111496415e-10,3.016268010270975e-14,0.938,4.4993040296573486e-05,0.015789772032759778,0.0010814497072135945,1.8497461337275303e-08,1.972947199417779e-07,0.0,0.0,0.020457916159488793,0.0012307805460155688,0.051703052999555424,4.857677760344577e-06,1.8122167332800343e-09,0.0008630353431137236,1.1798158302713885e-08
