Time (s),Volume (m^3),NH2_X(8),NH_X(9),H2O_X(10),N2O_X(11),H_X(12),He,NOX,OX,NX,OHX,NH3X,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),N2X(36)
9.041120226887933e-09,0.048764219312884285,1.4042083024363756e-06,3.125645407138929e-11,1.7263225631490228e-06,4.526090679142545e-51,1.5653883663013786e-06,0.938,1.3882423985015526e-23,0.0006458939757292772,4.30562520322083e-13,1.112671744864413e-10,7.290031245996392e-06,0.0,0.0,0.029954313258675765,0.009677093263383377,0.0499981930636737,2.1538948193077468e-30,2.072004843352325e-35,0.0019913057287645505,1.0958649586384651e-44,6.42014448015272e-34
9.089066366126816e-09,0.048764219312884285,1.4067016762734033e-06,3.1607496417770234e-11,1.7261322237242854e-06,4.813222321128832e-51,1.5686902752444642e-06,0.938,1.435853330453059e-23,0.0006491915757425696,4.404269964093156e-13,1.1169328414636387e-10,7.289226484932312e-06,0.0,0.0,0.029951010857693167,0.009675444665221059,0.049998192849898364,2.267727231747531e-30,2.1555378294549982e-35,0.0019913040397908704,1.1664085429607903e-44,6.796523259849495e-34
9.137012505365699e-09,0.048764219312884285,1.4091588152780945e-06,3.195965113623108e-11,1.7259419627678966e-06,5.11691406576872e-51,1.5719554550108103e-06,0.938,1.484799457429823e-23,0.0006524878871114084,4.504522733645659e-13,1.1211958342527193e-10,7.288422050941731e-06,0.0,0.0,0.029947709817912026,0.009673796711256661,0.04999819263629298,2.3868177305078753e-30,2.2419269058153091e-35,0.0019913023867236773,1.241030084073619e-44,7.192480799755681e-34
9.184958644604582e-09,0.048764219312884285,1.41158008346537e-06,3.231290046129071e-11,1.7257517801887237e-06,5.435250682182101e-51,1.5751842699893008e-06,0.938,1.5351095905621746e-23,0.0006557829106824147,4.606397935250211e-13,1.125460666736675e-10,7.287617949549593e-06,0.0,0.0,0.0299444101377519,0.009672149401066971,0.04999819242285745,2.5113733306340443e-30,2.3312519139431975e-35,0.001991300769193445,1.3199382239598233e-44,7.608903839389552e-34
9.232904783843465e-09,0.048764219312884285,1.4139658430501033e-06,3.266722671982076e-11,1.7255616758959233e-06,5.773588838556155e-51,1.5783770827725051e-06,0.938,1.5868129641106157e-23,0.0006590766473012826,4.709909980692881e-13,1.1297272835990963e-10,7.286814185790923e-06,0.0,0.0,0.029941111815637377,0.00967050273422924,0.04999819220959167,2.6416077309486866e-30,2.4235944123139245e-35,0.001991299186832941,1.403350865946081e-44,8.046713139858299e-34
9.280850923082349e-09,0.048764219312884285,1.4163164544048937e-06,3.30226123328711e-11,1.7253716497989452e-06,6.131729732262763e-51,1.5815342541143132e-06,0.938,1.639939238333276e-23,0.0006623690978127812,4.815073269307857e-13,1.1339956306826783e-10,7.286010764243616e-06,0.0,0.0,0.02993781484999809,0.009668856710321201,0.04999819199649551,2.7777414794866103e-30,2.519037701484444e-35,0.0019912976392772322,1.4914955225832146e-44,8.506864542645824e-34
9.328797062321232e-09,0.048764219312884285,1.4186322760195585e-06,3.337903981741763e-11,1.725181701807532e-06,6.506157651509417e-51,1.5846561428892889e-06,0.938,1.6945185023374765e-23,0.0006656602630607558,4.921902187125897e-13,1.1382656549699763e-10,7.285207689059143e-06,0.0,0.0,0.02993451923926879,0.009667211328921026,0.049998191783568874,2.9200021416342754e-30,2.6176668493789015e-35,0.0019912961261636915,1.5846096724613843e-44,8.990350053076661e-34
9.376743201560115e-09,0.048764219312884285,1.4209136644623005e-06,3.373649178803383e-11,1.7249918318317208e-06,6.903545661182371e-51,1.5877431060537035e-06,0.938,1.7505812769153162e-23,0.0006689501438881303,5.030411106037171e-13,1.1425373045643813e-10,7.284404963991276e-06,0.0,0.0,0.02993122498188938,0.009665566589607367,0.049998191570811625,3.0686244709895227e-30,2.7195687167423435e-35,0.001991294647132013,1.6829411265730523e-44,9.49819894880924e-34
9.424689340798998e-09,0.048764219312884285,1.423160974342527e-06,3.4094950958487505e-11,1.724802039781851e-06,7.324725468174298e-51,1.5907954986082233e-06,0.938,1.8081585173631497e-23,0.0006722387411369098,5.140614382968412e-13,1.1468105286713222e-10,7.2836025924230185e-06,0.0,0.0,0.029927932076304984,0.009663922491959317,0.04999819135822366,3.2238505829567135e-30,2.8248319827616756e-35,0.0019912932018242213,1.7867484085391483e-44,1.0031478913712356e-33
9.472635480037881e-09,0.048764219312884285,1.4253745582752874e-06,3.445440014326439e-11,1.7246123255685655e-06,7.763935297756255e-51,1.593813673562213e-06,0.938,1.8672816162848575e-23,0.0006755260556481813,5.25252635907428e-13,1.1510852775796851e-10,7.282800577391777e-06,0.0,0.0,0.029924640520965957,0.009662279035556451,0.049998191145804866,3.385930131092187e-30,2.9335471708529044e-35,0.0019912917898846794,1.896301144455442e-44,1.0591297197479252e-33
9.520581619276765e-09,0.048764219312884285,1.4275547668472902e-06,3.48148222590199e-11,1.7244226891028071e-06,8.229190950592551e-51,1.596797981899625e-06,0.938,1.9279824063788094e-23,0.0006788120882621171,5.366161358942841e-13,1.155361502643462e-10,7.281998921612952e-06,0.0,0.0,0.02992135031432795,0.009660636219978785,0.04999819093355511,3.555120486214578e-30,3.045806674613722e-35,0.001991290410960101,2.011880462017156e-44,1.1178801801334215e-33
9.568527758515648e-09,0.048764219312884285,1.4297019485844749e-06,3.517620032596068e-11,1.7242331302958276e-06,8.723159950894362e-51,1.5997487725464455e-06,0.938,1.9902931632084208e-23,0.0006820968398179749,5.481533689815029e-13,1.159639156263621e-10,7.281197627502017e-06,0.0,0.0,0.02991806145485194,0.0096589940448068,0.04999819072147426,3.731686918294276e-30,3.161704783940447e-35,0.0019912890646995598,2.1337794052281552e-44,1.1795182690187055e-33
9.616473897754531e-09,0.048764219312884285,1.4318164499211052e-06,3.5538517469157377e-11,1.7240436490591894e-06,9.23705154117802e-51,1.6026663923396596e-06,0.938,2.054246607956211e-23,0.000685380311154103,5.598657640818024e-13,1.1639181918702004e-10,7.280396697195178e-06,0.0,0.0,0.029914773941004297,0.009657352509621435,0.0499981905095622,3.915902781135942e-30,3.281337711308355e-35,0.0019912877507545007,2.2623033596907973e-44,1.2441673031591125e-33
9.664420036993414e-09,0.048764219312884285,1.4338986151703499e-06,3.5901756919790034e-11,1.7238542453047657e-06,9.780052135677036e-51,1.6055511859977106e-06,0.938,2.119875910161278e-23,0.0006886625031079387,5.717547482212384e-13,1.1681985639046297e-10,7.279596132568727e-06,0.0,0.0,0.02991148777125677,0.00965571161400407,0.04999819029781881,4.108049699867724e-30,3.404803618214421e-35,0.0019912864687787494,2.3977704864756267e-44,1.3119550461860957e-33
9.712366176232297e-09,0.048764219312884285,1.4359487864963162e-06,3.626590201632768e-11,1.7236649189447415e-06,1.0357837460981257e-50,1.6084034960924142e-06,0.938,2.1872146904401037e-23,0.0006919434165160129,5.838217464652857e-13,1.17248022780227e-10,7.278795935257134e-06,0.0,0.0,0.029908202944086568,0.00965407135753656,0.049998190086243954,4.308417761250469e-30,3.532202641781489e-35,0.0019912852184285224,2.5405121734713964e-44,1.383013837970577e-33
9.76031231547118e-09,0.048764219312884285,1.4379673038875198e-06,3.6630936205643496e-11,1.7234756698916164e-06,1.095769017662516e-50,1.6112236630223048e-06,0.938,2.2562970231906098e-23,0.0006952230522139514,5.960681818462725e-13,1.1767631399751826e-10,7.277996106669998e-06,0.0,0.0,0.029904919457976374,0.009652431739801202,0.04999818987483749,4.517305706819923e-30,3.663636921522877e-35,0.001991283999362438,2.6908734987186736e-44,1.4574807267735242e-33
