Time (s),Volume (m^3),NH2_X(8),NH_X(9),H2O_X(10),N2O_X(11),H_X(12),He,NOX,OX,NX,OHX,NH3X,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),N2X(36),H2(13),H2X(31),NH2(D)(23),N2O(37)
1.5775587861215254e-06,0.06438004230410234,5.011942796823891e-07,1.6476713766955094e-10,4.740032960562589e-07,2.5942287374778843e-27,8.321865820158379e-07,0.938,9.54864821657188e-11,0.018755951910545403,2.638587542854303e-07,1.1404492369388706e-08,2.212599636550403e-07,0.0,0.0,0.021656915711154575,0.000621912176513633,0.04999973823314871,8.942625512272236e-14,3.679572723383706e-15,0.00199901340553289,3.6994792895191955e-20,4.17952315967041e-18,1.2656386110052228e-08,1.5690482192799083e-11,2.1033320556075477e-11,5.477921863337004e-24
1.581847422137318e-06,0.06438004230410234,5.012064502596132e-07,1.6480058699641453e-10,4.7386078280019913e-07,2.6262746153819442e-27,8.316653454244681e-07,0.938,9.610915015203625e-11,0.018762463836252033,2.646710229648986e-07,1.1404738904366941e-08,2.2119334419626213e-07,0.0,0.0,0.021650403690479356,0.0006186554705312047,0.04999973986105096,9.024472157311356e-14,3.714305790402307e-15,0.001999012647046672,3.7463171997405385e-20,4.227989672836063e-18,1.2656958734915206e-08,1.5686473057124824e-11,2.1041951189283902e-11,5.546198379656021e-24
1.5861360581531104e-06,0.06438004230410234,5.012184930472232e-07,1.6483427795860953e-10,4.737191007158423e-07,2.658620505742159e-27,8.311474146152652e-07,0.938,9.673393787485377e-11,0.01876893778049505,2.654833303396227e-07,1.1404982870699891e-08,2.2112711277836902e-07,0.0,0.0,0.02164392964683203,0.0006154177561032536,0.049999741486477144,9.106822717811812e-14,3.749260536092255e-15,0.0019990118882591856,3.79360497145137e-20,4.276875445172425e-18,1.2657522201166288e-08,1.5682479669543534e-11,2.1050532538815048e-11,5.6151199665300524e-24
1.5904246941689029e-06,0.06438004230410234,5.012304095202672e-07,1.6486820897857043e-10,4.73578244046809e-07,2.6912683145432905e-27,8.306327637012832e-07,0.938,9.736084541233183e-11,0.01877537400632438,2.662956759976984e-07,1.1405224298136632e-08,2.210612667138044e-07,0.0,0.0,0.021637493317195926,0.000612198901698323,0.049999743109445965,9.189678764193403e-14,3.784437670849435e-15,0.001999011129172056,3.841345529054017e-20,4.3261828624653275e-18,1.2658076584155891e-08,1.567850194662249e-11,2.10590649380799e-11,5.684690760788949e-24
1.5947133301846953e-06,0.06438004230410234,5.012422011347047e-07,1.6490237849191713e-10,4.734382070865164e-07,2.724219954067331e-27,8.301213670544365e-07,0.938,9.798987283891403e-11,0.018781772774513476,2.6710805953194676e-07,1.1405463216013989e-08,2.2099580333829496e-07,0.0,0.0,0.021631094440830508,0.00060899877692325,0.049999744729976,9.273041866839115e-14,3.8198379047986824e-15,0.001999010369786899,3.889541806607643e-20,4.375914316925459e-18,1.2658621958498408e-08,1.5674539805404274e-11,2.106754871762803e-11,5.754914913063919e-24
1.5990019662004878e-06,0.06438004230410234,5.012538693276839e-07,1.6493678494735642e-10,4.7329898417768237e-07,2.7574773428809877e-27,8.296131993022011e-07,0.938,9.862102022536693e-11,0.0187881343435841,2.6792048053985494e-07,1.140569965331881e-08,2.2093072001054183e-07,0.0,0.0,0.02162473275924663,0.000605817252510785,0.0499997463480856,9.356913596094973e-14,3.855461947792411e-15,0.0019990096101053234,3.938196747819036e-20,4.426072207185279e-18,1.2659158398081226e-08,1.5670593163405264e-11,2.1075984205179358e-11,5.8257965877897346e-24
1.6032906022162803e-06,0.06438004230410234,5.0126541551779e-07,1.6497142680662663e-10,4.7316056971175886e-07,2.7910424058521534e-27,8.291082353244449e-07,0.938,9.925428763881962e-11,0.018794458969830743,2.6873293862351526e-07,1.1405933638671704e-08,2.208660141120019e-07,0.0,0.0,0.021618408016182093,0.0006026542003073716,0.04999974796379295,9.441295522269863e-14,3.891310509409276e-15,0.0019990088501289282,3.98731330604583e-20,4.4766589382959165e-18,1.2659685976073554e-08,1.5666661938613193e-11,2.108437172565546e-11,5.897339963203994e-24
1.6075792382320728e-06,0.06438004230410234,5.01276841105342e-07,1.6500630254421027e-10,4.730229581283805e-07,2.8249170741484698e-27,8.286064502503059e-07,0.938,9.988967514280232e-11,0.01880074690734477,2.6954543338956663e-07,1.1406165200280978e-08,2.2080168304667788e-07,0.0,0.0,0.021612119957577527,0.0005995094932610907,0.0499997495771161,9.526189215635401e-14,3.927384298952842e-15,0.0019990080898593028,4.0368944442969484e-20,4.527676921724081e-18,1.2660204764935165e-08,1.5662746049484538e-11,2.1092711601210527e-11,5.969549231346763e-24
1.6118678742478653e-06,0.06438004230410234,5.012881474726689e-07,1.6504141064723024e-10,4.728861439149047e-07,2.8591032852237492e-27,8.281078194550141e-07,0.938,1.0052718279728525e-10,0.018806998408038164,2.703579644491365e-07,1.1406394366025629e-08,2.2073772424080372e-07,0.0,0.0,0.021605868331552636,0.0005963830054097624,0.04999975118807286,9.611596246425772e-14,3.963684025450262e-15,0.001999007329298029,4.086943135227541e-20,4.579128575348953e-18,1.266071483642498e-08,1.5658845414943005e-11,2.1101004151261754e-11,6.042428598062535e-24
1.6161565102636577e-06,0.06438004230410234,5.012993359843197e-07,1.650767496154993e-10,4.727501216058694e-07,2.89360298283602e-27,8.276123185568672e-07,0.938,1.0116681065871666e-10,0.018813213721667065,2.7117053141778347e-07,1.140662116345174e-08,2.2067413514263023e-07,0.0,0.0,0.021599652888382684,0.000593274611869206,0.049999752796680924,9.697518184837608e-14,4.0002103976509855e-15,0.0019990065684466797,4.137462361138054e-20,4.631016323459089e-18,1.2661216261609548e-08,1.5654959954377282e-11,2.1109249692519465e-11,6.115982283002281e-24
1.6204451462794502e-06,0.06438004230410234,5.013104079873594e-07,1.6511231796115717e-10,4.726148857824377e-07,2.9284181170510523e-27,8.271199234142773e-07,0.938,1.0180855878006054e-10,0.018819393095854873,2.7198313391544114e-07,1.1406845619686094e-08,2.206109132222485e-07,0.0,0.0,0.021593473380475355,0.0005901841888216535,0.04999975440295779,9.78395660102983e-14,4.036964124025471e-15,0.0019990058073068185,4.188455113980205e-20,4.68334259674931e-18,1.2661709110871391e-08,1.5651089587638084e-11,2.1117448539016708e-11,6.190214519625823e-24
