Time (s),Volume (m^3),NH2_X(8),NH_X(9),H2O_X(10),N2O_X(11),H_X(12),NO2(13),NO2_X(14),He,NOX,OX,NX,OHX,NH3X,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7)
1.444722649686594e-05,0.05954180215024143,4.352323035812062e-08,4.856112206689561e-07,6.234205667178064e-07,1.4541547711217508e-18,3.078864828651175e-06,2.086906327334291e-17,5.0410377577814746e-11,0.938,1.9031695777899076e-05,0.014773716472256553,0.0005352651845530855,2.076306106412596e-08,3.5667940105956445e-07,0.0,0.0,0.022045299173690514,0.0021876823518813845,0.050831242425846225,4.874140978316956e-07,4.030722954757105e-10,0.001443841994466762,1.483590670198906e-11
1.4491499087061384e-05,0.05954180215024143,4.3219216838672653e-08,4.866898094942324e-07,6.231478769289488e-07,1.4822242236817573e-18,3.075814632528062e-06,2.10770502952682e-17,5.0849094968403935e-11,0.938,1.9174961749311503e-05,0.014782172239448894,0.0005385623281126403,2.0765391236970768e-08,3.5562474415139285e-07,0.0,0.0,0.02203340659716583,0.002180787851556445,0.050836432657518284,4.963758066599463e-07,4.0807399954663146e-10,0.001440383935570216,1.513045816709539e-11
1.453577167725683e-05,0.05954180215024143,4.291824944159145e-08,4.877593587633558e-07,6.228766746477476e-07,1.5106610477468077e-18,3.072748113485757e-06,2.1285635312743213e-17,5.128851274996596e-11,0.938,1.9318277443348437e-05,0.014790574292980477,0.0005418561583784698,2.0767445572238723e-08,3.545727814562675e-07,0.0,0.0,0.02202157101628277,0.002173922465055601,0.050841618324232736,5.054478637824418e-07,4.131061398620923e-10,0.0014369289228082054,1.5429040341302065e-11
1.4580044267452274e-05,0.05954180215024143,4.262028818600697e-08,4.888199113756307e-07,6.2260694793092e-07,1.5394673496897371e-18,3.0696656425186773e-06,2.1494810133820948e-17,5.172861488425536e-11,0.938,1.946163839908893e-05,0.014798923102029281,0.0005451466055342578,2.0769227420654586e-08,3.5352351578149435e-07,0.0,0.0,0.022009792035772493,0.0021670860149656966,0.05084679931610756,5.146308312810389e-07,4.1816860816048424e-10,0.0014334770293281496,1.573167921911758e-11
1.4624316857647719e-05,0.05954180215024143,4.2325293728001274e-08,4.898715100972285e-07,6.223386849601744e-07,1.5686452213622881e-18,3.0665675844239596e-06,2.170456660283053e-17,5.216938545815428e-11,0.938,1.9605040206764238e-05,0.014807219130831587,0.0005484336009506203,2.0770740095189802e-08,3.5247694973370485e-07,0.0,0.0,0.021998069264075548,0.002160278325395267,0.05085197552510778,5.239252668283039e-07,4.232612949022159e-10,0.0014300283270479008,1.6038400658655007e-11
1.4668589447843164e-05,0.05954180215024143,4.203322734889274e-08,4.909141975604677e-07,6.220718740406957e-07,1.598196740012835e-18,3.0634542979026852e-06,2.1914896600905167e-17,5.2610808683623974e-11,0.938,1.9748478507382858e-05,0.014815462838739765,0.000551717077170069,2.077198687142809e-08,3.51433085722403e-07,0.0,0.0,0.021986402313299472,0.0021534992219574447,0.0508571468450223,5.333317236733895e-07,4.2838408929456765e-10,0.0014265828866711927,1.6349230380262326e-11
1.4712862038038609e-05,0.05954180215024143,4.174405094375217e-08,4.919480162630959e-07,6.21806503599645e-07,1.6281239682073854e-18,3.060326135659207e-06,2.2125792046489093e-17,5.3052868897628065e-11,0.938,1.9891948992353348e-05,0.014823654680279396,0.0005549969678921056,2.0772970987927832e-08,3.503919259634654e-07,0.0,0.0,0.021974790799176802,0.0021467485317530955,0.05086231317144084,5.428507506287237e-07,4.3353687931632565e-10,0.0014231407777029594,1.6664193965189046e-11
1.4757134628234053e-05,0.05954180215024143,4.1457727010165886e-08,4.929730085676129e-07,6.215425621846859e-07,1.658428953753924e-18,3.057183444498901e-06,2.2337244895823053e-17,5.349555056202831e-11,0.938,2.0035447403105253e-05,0.014831795105205716,0.0005582732079584552,2.07736956465841e-08,3.493534724825958e-07,0.0,0.0,0.021963234341023725,0.0021400260833541853,0.050867474401731186,5.524828920575272e-07,4.387195517421923e-10,0.0014197020684645096,1.698331685429014e-11
1.4801407218429498e-05,0.05954180215024143,4.1174218637215956e-08,4.939892167007223e-07,6.212800384625206e-07,1.6891137296300608e-18,3.054026565424761e-06,2.2549247143408744e-17,5.3938838263454884e-11,0.938,2.0178969530708086e-05,0.014839884558559415,0.000561545733338439,2.0774164012992338e-08,3.4831772711873327e-07,0.0,0.0,0.021951732561699182,0.0021333317067873873,0.05087263043501652,5.622286878621503e-07,4.4393199216696584e-10,0.0014162668261085746,1.7306624346766998e-11
1.4845679808624943e-05,0.05954180215024143,4.089348949469986e-08,4.949966827527498e-07,6.210189212174534e-07,1.7201803139139263e-18,3.050855833732391e-06,2.2761790822452852e-17,5.438271671315073e-11,0.938,2.0322511215488825e-05,0.014847923480721727,0.0005648144811144848,2.0774379216809822e-08,3.472846915274137e-07,0.0,0.0,0.021940285087564584,0.0021266652335179023,0.050877781172153067,5.720886734732083e-07,4.4917408502949396e-10,0.0014128351166342015,1.7634141598944706e-11
1.4889952398820388e-05,0.05954180215024143,4.0615503822551354e-08,4.95995448677154e-07,6.207591993499653e-07,1.751630709718207e-18,3.0476715791035146e-06,2.297486800529158e-17,5.482717074679086e-11,0.938,2.046606834664799e-05,0.014855912307468926,0.0005680793894677776,2.0774344352116793e-08,3.4625436718408687e-07,0.0,0.0,0.021928891548443925,0.002120026496433513,0.05088292651570794,5.820633798394912e-07,4.544457136364015e-10,0.001409407004901521,1.7965893623084842e-11
1.4934224989015833e-05,0.05954180215024143,4.034022642050345e-08,4.969855562900479e-07,6.205008618753112e-07,1.7834669051272728e-18,3.044474125698011e-06,2.318847080379592e-17,5.5272185324278467e-11,0.938,2.060963686187464e-05,0.014863851470026165,0.0005713403976640469,2.077406247777611e-08,3.452267553873875e-07,0.0,0.0,0.021917551577584526,0.002113415329828845,0.050888066369937056,5.921533334186341e-07,4.5974676018559356e-10,0.0014059825546463673,1.8301905286233316e-11
1.4978497579211278e-05,0.05954180215024143,4.006762263792409e-08,4.979670472698322e-07,6.202438979221345e-07,1.8156908731373865e-18,3.0412637922447624e-06,2.3402591369758158e-17,5.571774552951825e-11,0.938,2.07532127469603e-05,0.014871741395120635,0.0005745974460394967,2.077353661779357e-08,3.4420185726236145e-07,0.0,0.0,0.02190626481161815,0.0021068315693898434,0.05089320064076355,6.023590561685393e-07,4.6507710578952956e-10,0.001402561828494762,1.864220130910312e-11
1.5022770169406722e-05,0.05954180215024143,3.979765836391144e-08,4.989399631567335e-07,6.19988296731096e-07,1.8483045715999267e-18,3.0380408921307307e-06,2.3617221895259902e-17,5.616383657016721e-11,0.938,2.0896792035412033e-05,0.014879582505034154,0.0005778504759868734,2.0772769761674167e-08,3.431796737636478e-07,0.0,0.0,0.021895030890522756,0.0021002750521784638,0.05089832923575608,6.126810655395392e-07,4.704366304982717e-10,0.0013991448879772518,1.898680626499152e-11
1.5067042759602167e-05,0.05954180215024143,3.953030001750886e-08,4.999043453525814e-07,6.197340476535252e-07,1.8813099431675853e-18,3.0348057334891184e-06,2.383235461302222e-17,5.66104437773645e-11,0.938,2.1040370808064882e-05,0.01488737521765509,0.000581099429941675,2.077176486478088e-08,3.4216020567861447e-07,0.0,0.0,0.021883849457584613,0.002093745616617571,0.05090345206410752,6.231198744672824e-07,4.758252133223052e-10,0.0013957317935431104,1.93357445787313e-11
1.5111315349797612e-05,0.05954180215024143,3.926551453824418e-08,5.008602351203302e-07,6.194811401500848e-07,1.9147089152434806e-18,3.0315586192854677e-06,2.4047981796738315e-17,5.705755260544078e-11,0.938,2.1183945192693814e-05,0.014895119946529662,0.0005843442513685018,2.077052484868658e-08,3.411434536304539e-07,0.0,0.0,0.021872720159360953,0.002087243102476039,0.050908569036613865,6.336759913663285e-07,4.812427322551324e-10,0.0013923226045743965,1.9689040525675428e-11
1.5155587939993057e-05,0.05954180215024143,3.9003269376655837e-08,5.018076735840758e-07,6.192295637894561e-07,1.9485033999331412e-18,3.028299847403571e-06,2.426409576138918e-17,5.750514863160779e-11,0.938,2.1327511363625277e-05,0.014902817100912649,0.0005875848847475458,2.0769052601533433e-08,3.4012941808122895e-07,0.0,0.0,0.02186164264564314,0.0020807673508540475,0.05091368006565334,6.443499201244408e-07,4.866890642956385e-10,0.001388917379399868,2.004671823071489e-11
1.5199860530188502e-05,0.05954180215024143,3.874353248534743e-08,5.027467017283215e-07,6.189793082470376e-07,1.982695293999307e-18,3.0250297107280128e-06,2.4480688863542687e-17,5.7953217555628585e-11,0.938,2.147106554134859e-05,0.01491046708581747,0.0005908212755612203,2.0767350978375066e-08,3.3911809933488413e-07,0.0,0.0,0.021850616569420184,0.00207431820416859,0.05091878506516564,6.551421600975609e-07,4.921640854702341e-10,0.0013855161753087597,2.0408801667329135e-11
1.5244133120383947e-05,0.05954180215024143,3.8486272309646736e-08,5.036773603986225e-07,6.187303633036618e-07,2.0172864788195093e-18,3.021748497228904e-06,2.4697753501636343e-17,5.840174519947047e-11,0.938,2.1614603992127295e-05,0.014918070302065677,0.0005940533702809336,2.076542280154407e-08,3.381094975401996e-07,0.0,0.0,0.021839641586842876,0.0020678955061391624,0.050923883950631466,6.660532061054548e-07,4.976676708547671e-10,0.0013821190485644131,2.0775314656668814e-11
